2016-04-18 13:26:43.877 | EnterForeground
2016-04-18 13:26:45.591 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1411301?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:45.591 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1411301?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:45.747 | GET | http://www.gannett-cdn.com/-mm-/4faa71288f585454ce2f7e5670257c6dd50ec58c/c=0-170-3000-2425&r=753x750/local/-/media/2016/04/18/USATODAY/USATODAY/635965656371649250-GTY-522117056-81310745.JPG
2016-04-18 13:26:47.183 | GET | https://pubads.g.doubleclick.net/gampad/ads?force_https=1&request_id=100&ios_base_sdk=9.3&u_so=p&js=afma-sdk-i-v7.7.0&ios_app_volume=1&ios_output_volume=0.6875&d_imp_hdr=1&ms=tCMSZ_Z5TdzzmccVcA9Jn4qEumBiSt5Vf58PWj-HENbRuJGvoW0Mvo4aJMJlPzqWUFcFKlBSql3QmTDWIF19ycVI8gXG_gFNuAjHlN84rMEGYkvsZJ1I4WeWPxs6LpDNJmJGMlHvNeCA2ovRvhpDPkkkoDO4OsIkUk-Ii20UU-hOTi5S0fkFhZcMr_YyIwlvnMt0vFYUFHCaLYvMS1KJ1IvtQSZ4JAWSqbNiDGEIHt2rVy27EEpjlc_CThoke1hEVscxqi2xOY02D-Ov_7gfrKowC10iLHfbTEtg2kv6f361pZrhimFXCrVqXFHZ_GZpymNZhhiDAkikiCJaF4a9gA&hl=en&u_sd=2&ios_key_window_w=375&cellular_country_code=310&sz=300x250%7C1280x1280&u_w=375&u_h=667&submodel=iPhone7%2C2&ios_key_window_h=667&cap_bs=1&_request_object_properties=%5Bobject%20Object%5D&net=wi&ios_app_muted=0&cellular_network_code=410&format=300x250_as&forceHttps=true&_package_name=com.usatoday.EnterpriseiPhone20&u_audio=1&ios_radio=CTRadioAccessTechnologyLTE&an=4.0.0.199.iphone.com.usatoday.EnterpriseiPhone20&swipeable=1&adk=2740854682&currts=10796127&oar=0&bas_on=0&basets=1&bas_off=0&pclick=5&seq_num=100&pimp=91&treq=8562154&tfetch=8562205&tresponse=8562516&tload=8562986&dload=832&timp=0&ismediation=false&output=html&region=mobile_app&u_tz=-240&content_url=http%3A%2F%2Fwww.usatoday.com%2Fpicture-gallery%2Flife%2Fmusic%2F2016%2F04%2F15%2Fmusic-music-music-its-coachella%2F83103264%2F&url=4.0.0.199.iphone.com.usatoday.EnterpriseiPhone20.adsenseformobileapps.com&gdfp_req=1&markup=html&m_ast=afmajs&impl=ifr&iu=%2F7103%2Fusatoday_mobile%2FiPhone_app-transitional_gallery%2Fentertainment%2Fmusic&correlator=1188708237252&_hl=en-us&gsb=wi&swdr=false&caps=interactiveVideo_inlineVideo_mraid1_mraid2_th_autoplay_mediation_av_sdkAdmobApiForAds_di_transparentBackground_aso_sfv&blockAutoClicks=true&cust_params=amzn_b%3DILd985hPQkXRopKCTF3pJmsAAAFUKmkFiAEAAA-qtqCkJw%26amznslots%3Dm300x250p7&_efs=false&includeDoritos=true&content_infol=76&blob=ABPQqLE8K2U3Gn75RUMXkf_8wrfXcOWM7Rsn-wkZKuUdki0OUSNcy9vrtA_LkWGOYUlC7LcVdQwjBUek2BiNV6jcp5qin_pTlghN5If7ViEZhTuXJcaGLZfm3qgchZf8eOHpJ8r16Lp9uqPa6PNhJQUTDyOQ3rFeefbsA1NyQjOa7O5jcwBPI9rpjgDHGxh-yAUuqyPIuIyVjM_FmLhmSyAKf31MOPTtQFqspB5p_fkE95tim0vU4mwFfHkIzzdD668puaTkvSpqaCqW08HNAPzzNbaRNe99QnUDJKz_lWSPMQpTy2L9CrIq40k7hAfiZVspuQJULhPmDExI875j3BifamizAQ1NH41q5FBsxeh2Di1K_-u343NfYDydJA&et=29&eid=318474773%2C46621136&tcar=31&jsv=216&urll=2309
2016-04-18 13:26:50.367 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s81788928
2016-04-18 13:26:50.435 | GET | http://www.gannett-cdn.com/-mm-/c0d9a9237b4651d3136e1e8a129e637c9de671de/c=0-48-3443-4638&r=750x1334/local/-/media/2016/04/17/USATODAY/USATODAY/635965171995152120-508646962.jpg
2016-04-18 13:26:50.982 | GET | http://api.gannett-cdn.com/mobilefeeds/breakingnews/v1/mobile/?siteId=1&api_key=czrk9j52vxysvp4jgr5bwmcf
2016-04-18 13:26:55.912 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s76587008
2016-04-18 13:26:56.725 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s68468736
2016-04-18 13:26:56.745 | GET | http://api.gannett-cdn.com/mobile/v4/galleryAlbums/1410095,1571989,1411301,1411813?api_key=99saas9t656jt89x3dae4n2d&consumer=ios_iphone
2016-04-18 13:26:56.747 | GET | http://www.gannett-cdn.com/ads/application/7103/config.json?cachebust=482693216.746272
2016-04-18 13:26:56.748 | GET | http://www.gannett-cdn.com/ads/application/7103/config.json?cachebust=482693216.746272
2016-04-18 13:26:56.753 | GET | http://api.gannett-cdn.com/mobile/v4/fronts/1/home_mobile?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:56.759 | GET | http://api.gannett-cdn.com/ping/v1/most-popular/1?api_key=vp535c7g3m7tr3wzj8vehbaz&t=text&consumer=ios_iphone
2016-04-18 13:26:56.764 | GET | http://api.gannett-cdn.com/mobile/v4/fronts/161/home_phone?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:56.789 | GET | http://gannett.demdex.net/event?c_gnt_prefs_PushSegments=breaking_news%7Cnull%7Cnull%7Cnull%7Cnull%7Cnull&c_gnt_quietTime=&c_gnt_Orientation=portrait&c_a_DeviceName=iPhone7%2C2&c_gnt_ContentType=sectionfront&c_gnt_appID=56DF3396-FD08-4474-9284-8059693F9028&c_gnt_OriginatingSection=TOP%20STORIES&c_gnt_Location=38.933%2C%20-77.219&c_gnt_MarketName=gpapermobileapp&c_gnt_Publication=usatoday&c_gnt_userStatus=unauthenticated&c_gnt_layout=mobile&c_gnt_alerts=on&c_gnt_aamsegment=testios%2Cios%2C512%2C511%2C501%2C502%2C503%2C504%2C506%2C507%2C508%2C510%2C300&c_gnt_user_id=&c_gnt_ProductName=usatodaynewsiphone&c_a_OSVersion=9.3.1%20%2813E238%00%29&c_gnt_locationservices=opt%20in%20always&c_gnt_ssts_Section=topstories&c_gnt_ssts_SubSection=&c_gnt_windowsize=375x667&d_uuid=70749386725163185992904563775151194271&d_dpid=3054&d_dpuuid=56DF3396-FD08-4474-9284-8059693F9028&d_ptfm=ios&d_dst=1&d_rtbd=json
2016-04-18 13:26:56.794 | GET | http://api.gannett-cdn.com/mobilefeeds/breakingnews/v1/mobile/?siteId=1&api_key=czrk9j52vxysvp4jgr5bwmcf
2016-04-18 13:26:56.805 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s32858368
2016-04-18 13:26:57.089 | GET | http://api.gannett-cdn.com/mobile/v4/assets/82892592,83174558,83176844,83163724,83025740,83088078?consumer=ios_iphone&api_key=gzet5e83h4nj7tzkhmee7c8z
2016-04-18 13:26:57.099 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1410095?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:57.101 | GET | http://api.gannett-cdn.com/mobile/v4/assets/1571989?consumer=ios_iphone&api_key=99saas9t656jt89x3dae4n2d
2016-04-18 13:26:57.224 | GET | http://www.gannett-cdn.com/-mm-/f1fecab80ff777ce6e03069b8dc2c2c23a62c046/c=1065-0-4763-3698&r=750x750/local/-/media/2016/04/18/USATODAY/USATODAY/635965700286342071-AP-Supreme-Court-Immigration.jpg
2016-04-18 13:26:57.225 | GET | http://www.gannett-cdn.com/-mm-/1d94ea5bb5a3f5998595f9109fdbec7908bb5a7c/c=313-0-1646-1333&r=164x164/local/-/media/2016/04/18/USATODAY/USATODAY/635965633337069106-detroit-schools-corruption-041816.jpg
2016-04-18 13:26:57.225 | GET | http://www.gannett-cdn.com/-mm-/a65844f6fde77950329632b682ca6cbdf524ad7a/c=282-0-2696-2414&r=164x164/local/-/media/2016/04/15/USATODAY/USATODAY/635963260762888855-Daryna-Bizilya-2.jpg
2016-04-18 13:26:58.285 | GET | https://pubads.g.doubleclick.net/gampad/ads?force_https=1&request_id=101&ios_base_sdk=9.3&u_so=p&js=afma-sdk-i-v7.7.0&ios_app_volume=1&ios_output_volume=0.6875&d_imp_hdr=1&ms=KyvQHb89x61H2JdyDaQn_KpqfdOJGKKVzSFSgNmJeFojVAs-SCWBWXqb3hG-nR_eFRsMk2MXowEup5wTUNYfOO2JQwJOHK9dsiNQquYzYXvKUxe7ekbqyBMmJLa73gI_Q26RGMNczn02ZWxd9ET77HgjpK7qpGgsTzoTBTA1lLJHYJupMJ5LLONI_XtQTUIqGND0g5bJVuTSHJzn95zCUooZv8anP14orW-uHYdLKsfFBcrNP0qYGeVXyTkXzOwaAsOczJjtoHASu2BAAnhpQzLIxShj3ja43SWpi3IKi73ySoBpLmPaUlpzeHueiw8Zet5TgaWPGDtx37Av9fAozg&hl=en&u_sd=2&ios_key_window_w=375&cellular_country_code=310&sz=300x250&u_w=375&ios_radio=CTRadioAccessTechnologyLTE&u_h=667&submodel=iPhone7%2C2&ios_key_window_h=667&cap_bs=1&_request_object_properties=%5Bobject%20Object%5D&net=wi&ios_app_muted=0&cellular_network_code=410&format=300x250_as&forceHttps=true&_package_name=com.usatoday.EnterpriseiPhone20&u_audio=1&an=4.0.0.199.iphone.com.usatoday.EnterpriseiPhone20&swipeable=1&adk=3035215201&currts=10807735&oar=0&bas_on=0&basets=1&bas_off=0&pclick=5&seq_num=101&pimp=91&output=html&region=mobile_app&u_tz=-240&url=4.0.0.199.iphone.com.usatoday.EnterpriseiPhone20.adsenseformobileapps.com&gdfp_req=1&markup=html&m_ast=afmajs&impl=ifr&iu=%2F7103%2Fusatoday_mobile%2FiPhone_app-section_front_top%2Fhomepage&correlator=263613360820470&_hl=en-us&gsb=wi&swdr=false&caps=interactiveVideo_inlineVideo_mraid1_mraid2_th_autoplay_mediation_av_sdkAdmobApiForAds_di_transparentBackground_aso_sfv&blockAutoClicks=true&cust_params=amzn_b%3DILFSeaP31UB3ijRuEv-qrJQAAAFUKmkzUAEAAA-qCOa4Sw%26amznslots%3Dm300x250p7&_efs=false&includeDoritos=true&content_infol=76&blob=ABPQqLGEpUE30Me6yYFqsZSHCd32yehE6pOYj23R13JTBg4WRsmktrQEcZcbs4AZajFJHgElestzz3rLNI1fr1xMD7EIHipMs8vWoIUOrWzAKkV6vy6oTRFVTs_no47nyOo54MwZVfSdm6IXmlKbE4qZmVAfB08lGJuUX7JWpVsKQS9RIwA9E4TDLbzR2sZlnA46yZkMQA88knvZxVDe5178F_42NvsS6PNWgpd_C0hjRWF4KLwADewleaEOsn46HligzGqPEJCEWZ7Pa07IxrxRBceF6bwUuj1EHrnCy-BCFMNlg0sFraxRRjZlVLc_MI3_t2LijRrQJvSTtlx5H6iyaiVXcv7eOR9m8j_5McSEK9GVgDPnNCGJDHThsg&et=28&eid=318474773%2C46621136&tcar=33&jsv=216&urll=2048
2016-04-18 13:26:58.341 | GET | http://www.gannett-cdn.com/-mm-/bca1a843bd3b1e95d85d17f53beaad1d2ffa4c06/c=608-0-2608-2000&r=164x164/local/-/media/2016/04/18/USATODAY/USATODAY/635965789965532032-GTY-477751456.jpg
2016-04-18 13:26:58.613 | GET | http://www.gannett-cdn.com/-mm-/7458a1a833c548644d852280976c5528fe133d8d/c=792-0-3960-3168&r=164x164/local/-/media/2016/04/18/USATODAY/USATODAY/635965611501297134-walmart.jpg
2016-04-18 13:26:58.699 | GET | https://pubads.g.doubleclick.net/pagead/adview?ai=BQCpl4hgVV4qIE9GL3QG3vIaYDoDvsN8IAAAAEAEgADgAWIjXp7voAmDJ9qSN7KSAEIIBF2NhLXB1Yi03NTIxNTIwODQ1OTEzNjQ2sgFJNC4wLjAuMTk5LmlwaG9uZS5jb20udXNhdG9kYXkuZW50ZXJwcmlzZWlwaG9uZTIwLmFkc2Vuc2Vmb3Jtb2JpbGVhcHBzLmNvbboBCWdmcF9pbWFnZcgBAtoBUWh0dHA6Ly80LjAuMC4xOTkuaXBob25lLmNvbS51c2F0b2RheS5lbnRlcnByaXNlaXBob25lMjAuYWRzZW5zZWZvcm1vYmlsZWFwcHMuY29tL8ACAuACAOoCOy83MTAzL3VzYXRvZGF5X21vYmlsZS9pUGhvbmVfYXBwLXNlY3Rpb25fZnJvbnRfdG9wL2hvbWVwYWdl-AL80R6QA-ADmAPgA6gDAcgDmQTQBJBO4AQB0gUGEJCo67YBkAYBoAYU2AYC2AcB4Acf&sigh=MNjCzkKzgzU&cid=CAASEuRoOkwdYAIukX-nLBHvORXlqA
2016-04-18 13:26:59.462 | POST | https://combine.urbanairship.com/warp9/
2016-04-18 13:27:02.123 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s83173632
2016-04-18 13:27:03.426 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s27648000
2016-04-18 13:27:03.626 | POST | http://repdata.usatoday.com/b/ss/gpapermobiletestsdk4/0/OIP-4.8.3/s93430016
2016-04-18 13:27:49.539 | End
